category,title,product
 Camping and hiking,MEC Delphinus -9C Down Sleeping Bag - Women's,4.5 out of 5 stars with 20 reviews for MEC Delphinus -9C Down Sleeping Bag - Women's
 Camping and hiking,The North Face Dolomite -7C Down Sleeping Bag - Unisex,No reviews yet. Be the first to write a review. The North Face Dolomite -7C Down Sleeping Bag - Unisex
 Camping and hiking,MSR PocketRocket 2 Stove,4.5 out of 5 stars with 22 reviews for MSR PocketRocket 2 Stove
 Camping and hiking,MEC Camping Bundle: Tent + Sleeping Bag + Sleeping Pad,4.2 out of 5 stars with 38 reviews for MEC Camping Bundle: Tent + Sleeping Bag + Sleeping Pad
 Camping and hiking,Helinox Chair One,4.8 out of 5 stars with 72 reviews for Helinox Chair One
 Camping and hiking,MEC Deluxe Camp Chair 2.0,4.2 out of 5 stars with 9 reviews for MEC Deluxe Camp Chair 2.0
 Camping and hiking,MEC Reactor 10 Double Sleeping Pad - Unisex,4.2 out of 5 stars with 11 reviews for MEC Reactor 10 Double Sleeping Pad - Unisex
 Camping and hiking,MEC Talon Light +5C Down Sleeping Bag - Unisex,4.7 out of 5 stars with 10 reviews for MEC Talon Light +5C Down Sleeping Bag - Unisex
 Camping and hiking,Yeti Roadie 20 Cooler,4.8 out of 5 stars with 3282 reviews for Yeti Roadie 20 Cooler
 Camping and hiking,Yeti Tundra 45 Cooler,4.9 out of 5 stars with 3430 reviews for Yeti Tundra 45 Cooler
 Camping and hiking,Clif Bar Chocolate Almond Fudge Energy Bar,4.7 out of 5 stars with 14 reviews for Clif Bar Chocolate Almond Fudge Energy Bar
 Camping and hiking,Big Agnes Mica Basin Camp Chair,5 out of 5 stars with 1 reviews for Big Agnes Mica Basin Camp Chair
 Camping and hiking,MEC Ultra Lite Table,4.5 out of 5 stars with 2 reviews for MEC Ultra Lite Table
 Camping and hiking,MEC Camp Table XL,4 out of 5 stars with 7 reviews for MEC Camp Table XL
 Camping and hiking,Yeti Tundra Haul Cooler,4.7 out of 5 stars with 282 reviews for Yeti Tundra Haul Cooler
 Camping and hiking,Keen Gypsum II Mid Waterproof Light Trail Shoes - Men's,3.8 out of 5 stars with 5 reviews for Keen Gypsum II Mid Waterproof Light Trail Shoes - Men's
 Camping and hiking,Keen Gypsum II Mid Waterproof Light Trail Shoes - Women's,4.8 out of 5 stars with 5 reviews for Keen Gypsum II Mid Waterproof Light Trail Shoes - Women's
 Camping and hiking,MEC Cross Wind 65+10 Backpack - Unisex,3.5 out of 5 stars with 4 reviews for MEC Cross Wind 65+10 Backpack - Unisex
 Camping and hiking,MEC Rockwall Half Zip Midlayer - Men's,No reviews yet. Be the first to write a review. MEC Rockwall Half Zip Midlayer - Men's
 Camping and hiking,Black Diamond ReVolt Headlamp,3.3 out of 5 stars with 10 reviews for Black Diamond ReVolt Headlamp
 Camping and hiking,Keen Clearwater CNX Sandals - Men's,3.4 out of 5 stars with 16 reviews for Keen Clearwater CNX Sandals - Men's
 Camping and hiking,Hoka Sky Kaha Mid Waterproof Light Hiking Shoes - Men's,No reviews yet. Be the first to write a review. Hoka Sky Kaha Mid Waterproof Light Hiking Shoes - Men's
 Camping and hiking,Keen Arroyo II Sandals - Men's,4.5 out of 5 stars with 2 reviews for Keen Arroyo II Sandals - Men's
 Camping and hiking,Vasque Breeze III Gore-Tex Boots - Men's,3.7 out of 5 stars with 58 reviews for Vasque Breeze III Gore-Tex Boots - Men's
 Camping and hiking,J.B. Field's Super-Wool Hiker GX Socks - Unisex,3.8 out of 5 stars with 115 reviews for J.B. Field's Super-Wool Hiker GX Socks - Unisex
 Camping and hiking,Darn Tough Light Hiker Light Cushion Micro Crew Socks - Unisex,4.2 out of 5 stars with 15 reviews for Darn Tough Light Hiker Light Cushion Micro Crew Socks - Unisex
 Camping and hiking,Arc'teryx Aerios FL Mid GTX Light Hiking Shoes - Women's,3.8 out of 5 stars with 6 reviews for Arc'teryx Aerios FL Mid GTX Light Hiking Shoes - Women's
